title,cover,bvid
【全程口胡高能】摸仙话rap地狱级听力测试，我及不及格雨女无瓜！,http://i2.hdslb.com/bfs/archive/850b165e0f8bb915c975429f843dd008684288f1.jpg,https://b23.tv/BV1Dx411d7bw
爆笑吐槽：小说中让人笑出驴叫的智障桥段---脑残志坚的霸道总裁,http://i0.hdslb.com/bfs/archive/95c2ee9ef5468fd50f98db60666580c125851576.jpg,https://b23.tv/BV1H4411c7bw
【盘点知乎神贴】网络小说有哪些拍案叫绝的智障桥段第二十期,http://i2.hdslb.com/bfs/archive/d58d55a3fccdb11b9a745565d18dd217976f3525.jpg,https://b23.tv/BV1is411N7Tt
【卢姥爷】心如止挂,http://i1.hdslb.com/bfs/archive/587ab13fbbf8a45a61c21b3538cacb91ea78376d.jpg,https://b23.tv/BV1Q4411w72H
【卢本伟】心如止水（催泪慎入）,http://i2.hdslb.com/bfs/archive/b95832a45a4083e3a7b70dbb151d498640c9269b.png,https://b23.tv/BV1j441177wj
回到十年前哔哩♂哔哩鬼畜开始的地方,http://i2.hdslb.com/bfs/archive/65f93680e672be117a9622bb42f1789d5f148aaa.jpg,https://b23.tv/BV1nx411Z7Ew
【全明星rap】 贝多芬病毒,http://i1.hdslb.com/bfs/archive/dcc01117b517b1e87ae37f50c1e608d495e2c5f8.png,https://b23.tv/BV19x411f7Kf
【霍顿】穷开跪（穷开心）,http://i0.hdslb.com/bfs/archive/217de3f681750c989678003c634c74c0e2193b14.jpg,https://b23.tv/BV1Vt41177Tq
【马化腾】穷开心,http://i1.hdslb.com/bfs/archive/1951a88c3dc7791dfdc512d74598cab234afbbd8.jpg,https://b23.tv/BV12W411j7cH
【鬼畜配音】小猪曾小贤第一集,http://i2.hdslb.com/bfs/archive/37b4d8a2117dfd24bf58a38ff1d6fabeb7f53455.jpg,https://b23.tv/BV1Tt41177T2
page2
9102年了，耳光侠终于对元气骑士下手了,http://i2.hdslb.com/bfs/archive/a0c8a8d9fa5584d6e1a7a4efa46bab4bc4f2d914.png,https://b23.tv/BV16t411n7X1
【名场面】国内明星是如何当众开车的，看完我不厚道的笑了！,http://i0.hdslb.com/bfs/archive/ce1cfccb3eb5a2a7dcefdf0b39f69c763592706e.jpg,https://b23.tv/BV1S4411F7xC
【霍顿】王妃,http://i1.hdslb.com/bfs/archive/eae3659daeb64115fcf34260c6d122e787424981.jpg,https://b23.tv/BV1Lt411j7aU
【霍顿】狂跪（狂浪）,http://i0.hdslb.com/bfs/archive/77ee5baeab22ec3c6b209ef1bcbbed0101916d36.jpg,https://b23.tv/BV1Xt411j7YX
【霍顿】水中跪族的葬礼（feat.全明星）,http://i2.hdslb.com/bfs/archive/3d3200726ba063a11ff14c5d44f660b4c73bcee5.jpg,https://b23.tv/BV1et411A7RA
求你们不要外放了那些神烦的抖音BGM【第四期】,http://i0.hdslb.com/bfs/archive/c4d84e8cfa5be07f06923ac46bf181794b857c8b.jpg,https://b23.tv/BV1Zt411n7GL
【霍顿】出山,http://i0.hdslb.com/bfs/archive/86fbb264f96f0870c62a92df3cd6e23cf0e5b059.jpg,https://b23.tv/BV12t411j7Gd
【全明星】雨蝶,http://i0.hdslb.com/bfs/archive/7875b56ef18e188fd86e58f89936525416a0b934.jpg,https://b23.tv/BV1o4411F7BK
【爱情公寓Rap】好男人就是我 我就是曾小贤（全程踩点！）,http://i1.hdslb.com/bfs/archive/f787e871f41da6bb58b953c28edc2417a7364ef2.jpg,https://b23.tv/BV16t411L7bX
【火花全明星】130秒听完鬼畜区50句粗鄙之语3！,http://i2.hdslb.com/bfs/archive/01a2a3c46ee4d2b52005cfb097f54f1ac5a47ca6.jpg,https://b23.tv/BV1Ut411L7ME
【全明星】  我叫娃哈哈（我叫安琪拉）,http://i1.hdslb.com/bfs/archive/a9b5cc8e08843036d1ca261823021fb4d2ea7c93.png,https://b23.tv/BV17t411j7aF
【穷当弟】我斯科特就是要当弟弟（新起之秀）,http://i1.hdslb.com/bfs/archive/79441c8657b37084c3ca3b34e484616e3f5c2d96.jpg,https://b23.tv/BV1rt411j7yw
抖音外放是吧！还开到最大是吧！,http://i2.hdslb.com/bfs/archive/95ad306f04f292937e6ebeca8e6d51c839abf6cc.jpg,https://b23.tv/BV1dt411A7qr
[霍顿]新跪妃醉酒,http://i0.hdslb.com/bfs/archive/eb02fd1f5cded0dbd66f4dd8135768bf0e3fbc36.jpg,https://b23.tv/BV1Jt411P74f
将米津玄师的Lemon翻唱成哆啦A梦。ますくこま，一位被拉面店事业耽误的灵魂歌手。,http://i0.hdslb.com/bfs/archive/5d67f15d671d736188a7de29267e879fb0c8424b.png,https://b23.tv/BV1Et411579u
《Something Just Like This》来自64国家，千人合唱,http://i0.hdslb.com/bfs/archive/9211dbac70b6ba9657c59b2ecf240b20190a2f2c.jpg,https://b23.tv/BV16x411j7j7
【敬汉卿】Lemon—非自然商标,http://i2.hdslb.com/bfs/archive/5789c43cef1ff76cd02423875bee30fafc96c807.png,https://b23.tv/BV1at411K7oU
【敬汉卿】穷维权（重拳出击）,http://i1.hdslb.com/bfs/archive/dc46d40ed31f7eb7d5cbc1ad19b510f205fdfdc6.jpg,https://b23.tv/BV1Xt411K7f8
【敬汉卿】出山   这次我们绝不妥协,http://i0.hdslb.com/bfs/archive/808d8480b5aa54675064d118b4446b09119a46c1.jpg,https://b23.tv/BV1Ct411K7rC
鬼畜全明星为【敬汉卿】加油,http://i1.hdslb.com/bfs/archive/c91126f2e4dd39159acc10fd1cdb543a0dd8e6b8.jpg,https://b23.tv/BV12t411K7FR
page3
笑死我了，这部名字都是抄袭的国漫是有多烂,http://i2.hdslb.com/bfs/archive/1032e3c8182721cf9ec66272daa6df35ed6b0999.jpg,https://b23.tv/BV1M4411S7Ao
【和珅＆纪晓岚】冠世一战·清浊之辩,http://i2.hdslb.com/bfs/archive/b4241d48ab9bc27c13fa70f7b2fdc814095685af.jpg,https://b23.tv/BV1Tt411w7Fr
【迷徒】燃炸RAP！内地青年说唱battle港青,http://i0.hdslb.com/bfs/archive/695d431a6b80970e8697426dc64621bb97386b30.jpg,https://b23.tv/BV184411f7sQ
【鬼畜全明星】2019年，跟着这个节奏摇！,http://i0.hdslb.com/bfs/archive/0937414fcac9d3357663d71bb4f964fdd232f0a2.jpg,https://b23.tv/BV1Xx411R7gv
【广告RAP】让洗脑沙雕广告变成鬼畜视频,http://i0.hdslb.com/bfs/archive/2f1cbe0623aa777d22024ff7c81ec18abda53d57.jpg,https://b23.tv/BV144411p7Hf
【马化腾】Havana（氪你就是上帝）,http://i0.hdslb.com/bfs/archive/0f4e4b861920f43ab802005fde85e3c72bb8c820.jpg,https://b23.tv/BV1J4411U7re
我被人强行篡改国籍！你看好了 我是中国人,http://i0.hdslb.com/bfs/archive/f34c2689f7085175f17104fc461bf3ca80e01e0c.jpg,https://b23.tv/BV1f4411m77B
这里有你的下课铃声吗,http://i2.hdslb.com/bfs/archive/9664efb732392b3f4087e0b12423fec49caa95a4.jpg,https://b23.tv/BV1sx411v7fy
盘点你们在学校听过的音乐铃声,http://i1.hdslb.com/bfs/archive/57ce0d70bad09d55ec0e4ffb030e3a2b33f4ee33.jpg,https://b23.tv/BV16s411K7ea
【爱情公寓rap】张伟：你是软蛋 他是淫贼 我是穷鬼,http://i1.hdslb.com/bfs/archive/60ba3d9afba328d77ceefae867f1d94d79587756.jpg,https://b23.tv/BV1GJ411A7Xm
【马云】芒种,http://i0.hdslb.com/bfs/archive/2f96a5561a5a2f3612c566a0afabf5df574fa9de.jpg,https://b23.tv/BV1E4411q7GZ
【马化腾】芒种，一想氪金我就……,http://i2.hdslb.com/bfs/archive/0d47634e49a73dae26a11a61ccab57b5d0406d6d.jpg,https://b23.tv/BV1U4411B7Fc
【赵本山】Nevada——接着忽悠,http://i0.hdslb.com/bfs/archive/7ee1f9d07b39866c5e63bcd6ccba6be4bc6210b9.jpg,https://b23.tv/BV1nE411Q7MY
【苹果铃声】～菠菜～小米～窝窝头～,http://i1.hdslb.com/bfs/archive/7714d765c4b559682b743f3fa8ee1a3d198d1b03.jpg,https://b23.tv/BV1uE411X7aX
【爱情公寓rap】为所欲为！为所欲为！为所欲为,http://i2.hdslb.com/bfs/archive/21365f80c22c5e335f4fde3cdabf41930a95a1c2.jpg,https://b23.tv/BV1RJ41137hH
【小姨妈】芒种,http://i0.hdslb.com/bfs/archive/08d99de88cc884f711769deb15a4196126998c44.jpg,https://b23.tv/BV1p4411z7Jf
【全明星】芒种,http://i2.hdslb.com/bfs/archive/577704bd044e80a8ac99dafc31f5025394010335.jpg,https://b23.tv/BV1b441167Cq
【蔡徐坤】芒种,http://i1.hdslb.com/bfs/archive/3bfe8db3d14e518e77f766d18aa4cac25f0ba8c9.jpg,https://b23.tv/BV1q4411z7iW
【章鱼哥】芒种 (绝对踩点节奏),http://i0.hdslb.com/bfs/archive/581f978795680adb716f76b3423bb62dce604c3f.jpg,https://b23.tv/BV1U441127NE
【2019版】各厂商手机默认铃声,http://i0.hdslb.com/bfs/archive/dc02ec870d101aed0bd2dbb8afd725394740a357.jpg,https://b23.tv/BV17E411R7x2
page4
燃烧吧！铃声！把主流手机铃声编成一首曲子,http://i2.hdslb.com/bfs/archive/cc9e72822d68fffdd0406144f1b5348a13c89652.jpg,https://b23.tv/BV18t411q7zz
【铃声串烧系列】华米两开花；中华有为，国之荣耀！把主流手机铃声编成一首曲子,http://i0.hdslb.com/bfs/archive/9887797402599c42f74a7624f3db4a92a0ebf465.jpg,https://b23.tv/BV1vb411879C
燃烧吧！Ringtones！把小米、华为、魅族、三星、索尼手机的铃声编成一首曲子【v2.0】,http://i1.hdslb.com/bfs/archive/bbf38f8097ab00fb41f9b79a53e75e7c6315cd52.jpg,https://b23.tv/BV1pW411p72t
【铃声Lite】燃烧吧！铃声！把主流手机铃声编成一首曲子,http://i2.hdslb.com/bfs/archive/0e04ab102326519ee74438e8a6b5f022416071b1.jpg,https://b23.tv/BV1Db411J7LV
iPhone X的专属铃声《Reflection》好特别！马上试听,http://i2.hdslb.com/bfs/archive/4c4645d37102c56165c1f9302968e3f254a73758.jpg,https://b23.tv/BV1kx411E7rK
【全明星rap】creeper？最骚版本,http://i2.hdslb.com/bfs/archive/4070bce22a98f0a22aa0624f8a6a8ba6dbff345f.jpg,https://b23.tv/BV1RE411Z73V
闹太套的真正版本！,http://i0.hdslb.com/bfs/archive/830b648609353ccd726ef2cf8c72ed060ddcecb3.jpg,https://b23.tv/BV1LJ411P7jh
【川普】Creeper?,http://i1.hdslb.com/bfs/archive/adcc26fc00a74b8dd3da9a04fd05381ec2558b44.jpg,https://b23.tv/BV1YE411o7x8
【爱情公寓rap】生活就像A V I，多姿多彩,http://i2.hdslb.com/bfs/archive/78a2817deea7387b17ab47ba1c3b92f556a52e34.jpg,https://b23.tv/BV1FE411C7B5
【全明星rap】野狼disco 最骚版本,http://i0.hdslb.com/bfs/archive/517600a7e98793215e10630132dc15e57a5918ef.jpg,https://b23.tv/BV17J411M7tp
从现在开始这里叫做卢本伟电音节,http://i1.hdslb.com/bfs/archive/5a9431562782f4d32a27e4ee52b2745f04eea3c8.jpg,https://b23.tv/BV1y4411y7sb
【乐正龙牙原创曲】猛男泳装！邻家男孩 Boy Next Door【龙牙诞生祭2019】,http://i1.hdslb.com/bfs/archive/5098f37ac504c81ca0a8d105114a786f34a0e5f9.jpg,https://b23.tv/BV1KE411Q78Z
【全明星】Creeper?嗨就完事了!,http://i2.hdslb.com/bfs/archive/1297d69cc75fb9b3990200a8d6ddfde70a19a5ff.jpg,https://b23.tv/BV1wE411f73u
『鱼』模仿快手、抖音、b站跳舞——「极乐净土」,http://i1.hdslb.com/bfs/archive/d0d7200d53fb8d86d9c4d8d6915d6c782b0c2c3f.jpg,https://b23.tv/BV14J411A7Tj
【章鱼哥】Creeper？(绝对踩点节奏),http://i0.hdslb.com/bfs/archive/27359a545c9beba0397da57ce65ec8d493146a75.jpg,https://b23.tv/BV1rE411r7wu
【家有儿女】creeper？,http://i0.hdslb.com/bfs/archive/68b5dab3969d92949d8c2167d1b7bb5aeb822c19.jpg,https://b23.tv/BV19E41127dd
【植物大战僵尸】这朵小花绝对是去过夜店的！,http://i2.hdslb.com/bfs/archive/9a5534b8076c2dc41f000d030e0127c507800206.jpg,https://b23.tv/BV1uE411X7gk
【Minecraft】用我的世界奏一曲超好听的《芒种》,http://i1.hdslb.com/bfs/archive/774803580436f8a4396d05b2b95f2fb765834758.jpg,https://b23.tv/BV16441117zq
【爱情公寓VS家有儿女VS武林外传】我才是对子之王2,http://i0.hdslb.com/bfs/archive/275f10ac93cabd6ad4c5a7de95a3d272e2057feb.jpg,https://b23.tv/BV1mJ411F7t9
【家有儿女】野狼disco,http://i1.hdslb.com/bfs/archive/b30429f30ce39d47587afce076087fcbbf143044.jpg,https://b23.tv/BV1tJ411N7z2
page5
油管上一个亿的特朗普的鬼畜，xswl。,http://i1.hdslb.com/bfs/archive/734b6bda9401ca0a748d5846b49653cc2d1c9438.jpg,https://b23.tv/BV1s4411i7L1
【马化腾】氪！一个亿！beautiful now,http://i2.hdslb.com/bfs/archive/df0844eff12192d86581ce8c3dc917d63a3ca699.jpg,https://b23.tv/BV1aJ411F7zV
【马云】不就是 ! 钱 !（全程高燃）（beautiful now）,http://i0.hdslb.com/bfs/archive/290f85e07afedbdd56853c7717e3484cd7233046.png,https://b23.tv/BV1s4411Y7Le
【赵本山】野狼disco,http://i2.hdslb.com/bfs/archive/eb889bde260c28d6a2459eba3cabcb6b32b3d0f2.jpg,https://b23.tv/BV184411k74x
 【古筝】千本樱——你可见过如此凶残的练习曲,http://i0.hdslb.com/bfs/archive/baae2b4050363c0ab45465b7cf696b8304fdaca8.jpg,https://b23.tv/BV1Sx411T7QQ
台湾名嘴大骂”港独“，连开6炮，句句都在理,http://i2.hdslb.com/bfs/archive/69e89f4b526c301c3fd445064c3f4c00669ccf62.jpg,https://b23.tv/BV1z4411d7Mk
【神医rap】三大神医，强强联手,http://i1.hdslb.com/bfs/archive/92875bda0fa58da6c770cf0663a27e7a5af09265.jpg,https://b23.tv/BV1oE411t7vZ
【笑傲江湖】护花使者,http://i2.hdslb.com/bfs/archive/b888636c3232acaee1aaf207413e5e3f3530194c.jpg,https://b23.tv/BV1iE411b7pc
【全明星rap】2019最新火爆鬼畜单曲 隔壁泰山！,http://i1.hdslb.com/bfs/archive/bcaf867f60512d8c07138e3b4a608e751d7d5db0.jpg,https://b23.tv/BV1mE411b7vw
洛天依，原创《大氿歌》  干了这碗酒，四海皆亲友,http://i1.hdslb.com/bfs/archive/b400ae53242fd2784a588e82ea3e0050f1d0f1e4.jpg,https://b23.tv/BV14b411b7Vr
大悲咒 (高音质悦耳版) (珍藏精选版),http://i1.hdslb.com/bfs/archive/635d876112e94b8c10896b1e804966177c52ccdb.jpg,https://b23.tv/BV144411U76Z
【全明星】海草舞,http://i0.hdslb.com/bfs/archive/a5a3c0f92f3e6d7922d50debcb42db1c796d7476.jpg,https://b23.tv/BV1tW411W7Hm
【全明星】爱的魔力转圈圈,http://i1.hdslb.com/bfs/archive/dd2004c48515eba220cd619e7d1ba9be09cc289e.jpg,https://b23.tv/BV1Cb411p7jV
【马化腾】影 流 之 主,http://i1.hdslb.com/bfs/archive/a2014e4e120dba2fd6070c1ce86e683a4f2bb65a.jpg,https://b23.tv/BV1GE411q7S2
全 明 星 抖 肩 舞,http://i1.hdslb.com/bfs/archive/6b2bb1186e56d48dc9047eeb2f56aa3f9d33243d.jpg,https://b23.tv/BV1xJ411Q7oW
【郭德纲】那些年被郭德纲毁掉的流行歌曲最全合集，听完保证让你忘记原唱,http://i2.hdslb.com/bfs/archive/da641d8bfa0d26919d1219fe9c6b827ca2c13b2a.jpg,https://b23.tv/BV1QJ411F7a1
一想到你我就.....腾格尔版《芒种》真的来了！,http://i0.hdslb.com/bfs/archive/331e784e79e374b2552394a7860eb727bcad8992.jpg,https://b23.tv/BV1bJ411i711
猛男亲自教我跳舞！,http://i1.hdslb.com/bfs/archive/b85270013a5b4bdb789ae7756192bbd3fbeda42c.jpg,https://b23.tv/BV1FJ411C7LU
中国人唱给美国的魔性RAP,http://i0.hdslb.com/bfs/archive/f6a0244e89a5a4b2e830c11cadc46338e335bc37.jpg,https://b23.tv/BV1zJ411271R
【南理工版】猛男魔性抖肩舞！coincidance 每天一遍 防止抑郁,http://i0.hdslb.com/bfs/archive/2ac86bf8bd083dcdbf0a770ebfbd481c23ff6d13.jpg,https://b23.tv/BV1fE411Y73g
